TARGET_FID,RF_Number_,RF_Median_,RF_Nationa,RF_Speed_l
1187,2,0,1,25
1188,2,0,1,25
1189,2,0,1,25
1190,2,0,1,25
1193,2,0,1,25
1194,2,0,1,25
1195,2,0,1,25
1196,2,0,1,25
1197,2,0,1,25
1198,2,0,1,25
1199,2,0,1,25
1200,2,0,1,25
1201,2,0,1,25
1202,2,0,1,50
1203,2,0,1,25
1204,2,0,1,25
1205,2,0,1,25
1206,2,0,1,25
1207,2,0,1,25
1208,2,0,1,25
1209,2,0,1,25
1210,2,0,1,25
1211,2,0,1,25
1212,1,0,1,40
1213,1,0,1,40
1214,2,0,1,40
1215,2,0,1,40
1216,2,0,1,50
1217,2,0,1,50
1218,2,0,1,50
1219,2,0,1,50
1220,2,0,1,50
1221,2,0,1,50
1222,2,0,1,25
1223,2,0,1,50
1224,2,0,1,50
1225,2,0,1,25
1226,2,0,1,25
1227,2,0,1,45
1228,2,0,1,50
1229,2,0,1,50
1230,2,0,1,50
1231,2,0,1,50
1232,2,0,1,50
1233,2,0,1,50
1234,2,0,1,45
1235,2,0,1,25
1236,2,0,1,45
1237,2,0,1,50
1238,2,0,1,50
1239,2,0,1,50
1240,2,0,1,50
1241,2,0,1,50
1242,2,0,1,50
1243,2,0,1,50
1244,2,0,1,50
1245,2,0,1,50
1246,2,0,1,50
1247,2,0,1,50
1248,2,0,1,50
1249,2,0,1,50
1250,2,0,1,50
1251,2,0,1,50
1252,2,0,1,50
1253,2,0,1,50
1254,2,0,1,50
1255,2,0,1,50
1256,2,0,1,50
1257,2,0,1,50
1258,2,0,1,50
1259,2,0,1,50
1260,2,0,1,50
1261,2,0,1,50
1262,2,0,1,25
1263,2,0,1,25
1264,2,0,1,25
1265,2,0,1,25
1266,2,0,1,25
1267,2,0,1,25
1268,3,0,1,25
1269,2,0,1,25
1270,2,0,1,25
1271,2,0,1,25
1272,2,0,1,45
1273,2,0,1,25
1274,2,0,1,25
1275,2,0,1,45
1276,2,0,1,50
1277,2,0,1,25
1278,2,0,1,25
1279,2,0,1,25
1280,2,0,1,50
1281,2,0,1,50
1282,2,0,1,50
1283,2,0,1,50
1284,2,0,1,50
1285,2,0,1,50
1286,2,0,1,40
1287,2,0,1,25
1288,2,0,1,25
1289,2,0,1,25
1290,2,0,1,25
1291,2,0,1,25
1292,2,5,3,45
1293,2,0,1,45
1294,2,0,1,45
1295,2,0,1,45
1296,2,0,1,50
1297,2,0,1,50
1298,2,0,1,50
1299,2,0,1,50
1300,2,0,1,25
1301,2,0,1,50
1302,2,0,1,50
1303,2,0,1,50
1304,2,0,1,50
1305,2,0,1,50
1306,2,0,1,50
1307,2,0,1,50
1308,2,0,1,50
