TARGET_FID,Ac_Unpr,E8_Svc,D3A,D3BAO,D5CEI,RF_Number_,RF_Speed_l
39118,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39119,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39120,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39121,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39122,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39123,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39126,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39127,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39128,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39129,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39130,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39131,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39132,141.41491,12,24.48768772,0,0.87348827,2,25
39133,216.49664,42,20.6685545,0,0.815992951,2,25
39134,216.49664,42,20.6685545,0,0.815992951,2,25
39135,141.41491,12,24.48768772,0,0.87348827,2,25
39136,141.41491,12,24.48768772,0,0.87348827,2,25
39137,141.41491,12,24.48768772,0,0.87348827,2,25
39138,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39140,165.30533,48,19.88779745,0,0.884722987,2,25
39141,165.30533,48,19.88779745,0,0.884722987,2,25
39142,165.30533,48,19.88779745,0,0.884722987,3,25
39143,165.30533,48,19.88779745,0,0.884722987,3,25
39144,165.30533,48,19.88779745,0,0.884722987,3,25
39145,165.30533,48,19.88779745,0,0.884722987,3,25
39146,165.30533,48,19.88779745,0,0.884722987,3,25
39147,165.30533,48,19.88779745,0,0.884722987,3,25
39148,141.41491,12,24.48768772,0,0.87348827,2,35
39149,141.41491,12,24.48768772,0,0.87348827,2,35
39150,141.41491,12,24.48768772,0,0.87348827,2,25
39151,141.41491,12,24.48768772,0,0.87348827,2,25
39152,141.41491,12,24.48768772,0,0.87348827,2,25
39153,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39154,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39157,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39158,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39159,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39160,225.980363,45,24.8840953,8.496313461,0.750765503,2,25
39161,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39162,141.41491,12,24.48768772,0,0.87348827,2,25
39163,141.41491,12,24.48768772,0,0.87348827,2,25
39164,141.41491,12,24.48768772,0,0.87348827,2,25
39165,141.41491,12,24.48768772,0,0.87348827,2,25
39166,216.49664,42,20.6685545,0,0.815992951,2,25
39168,136.95636,69,21.07836342,0,0.795329882,2,35
39169,136.95636,69,21.07836342,0,0.795329882,2,35
39170,136.95636,69,21.07836342,0,0.795329882,2,35
39171,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39172,225.980363,45,24.8840953,8.496313461,0.750765503,2,35
39173,136.95636,69,21.07836342,0,0.795329882,2,25
39174,216.49664,42,20.6685545,0,0.815992951,2,35
39175,216.49664,42,20.6685545,0,0.815992951,2,35
39176,136.95636,69,21.07836342,0,0.795329882,2,35
39177,141.41491,12,24.48768772,0,0.87348827,1,35
39178,141.41491,12,24.48768772,0,0.87348827,1,25
39179,141.41491,12,24.48768772,0,0.87348827,2,35
39180,141.41491,12,24.48768772,0,0.87348827,2,25
39181,141.41491,12,24.48768772,0,0.87348827,2,35
39182,141.41491,12,24.48768772,0,0.87348827,1,25
39184,165.30533,48,19.88779745,0,0.884722987,2,35
39185,165.30533,48,19.88779745,0,0.884722987,2,35
39186,141.41491,12,24.48768772,0,0.87348827,2,35
39187,141.41491,12,24.48768772,0,0.87348827,2,25
39188,141.41491,12,24.48768772,0,0.87348827,2,35
39189,141.41491,12,24.48768772,0,0.87348827,1,25
39190,141.41491,12,24.48768772,0,0.87348827,1,35
39191,141.41491,12,24.48768772,0,0.87348827,1,25
39192,141.41491,12,24.48768772,0,0.87348827,1,35
39193,216.49664,42,20.6685545,0,0.815992951,3,35
39194,216.49664,42,20.6685545,0,0.815992951,2,25
39195,216.49664,42,20.6685545,0,0.815992951,2,25
39196,216.49664,42,20.6685545,0,0.815992951,2,25
39197,216.49664,42,20.6685545,0,0.815992951,2,25
39198,216.49664,42,20.6685545,0,0.815992951,2,25
39199,216.49664,42,20.6685545,0,0.815992951,2,25
39200,216.49664,42,20.6685545,0,0.815992951,2,35
39201,226.0456,13,15.8270726,0,0.848948122,2,25
39202,226.0456,13,15.8270726,0,0.848948122,2,25
39203,226.0456,13,15.8270726,0,0.848948122,2,25
39204,216.49664,42,20.6685545,0,0.815992951,2,25
39205,216.49664,42,20.6685545,0,0.815992951,3,35
39206,216.49664,42,20.6685545,0,0.815992951,2,25
39207,216.49664,42,20.6685545,0,0.815992951,2,25
39208,216.49664,42,20.6685545,0,0.815992951,2,25
39209,216.49664,42,20.6685545,0,0.815992951,2,25
39211,78.6697212,7,28.64070048,0,0.859257627,2,25
39212,216.49664,42,20.6685545,0,0.815992951,2,25
39213,216.49664,42,20.6685545,0,0.815992951,2,25
39214,216.49664,42,20.6685545,0,0.815992951,2,25
39215,216.49664,42,20.6685545,0,0.815992951,2,25
39216,216.49664,42,20.6685545,0,0.815992951,2,25
39217,172.77702,14,17.81080325,0,0.864324265,2,25
39245,165.30533,48,19.88779745,0,0.884722987,2,25
39246,165.30533,48,19.88779745,0,0.884722987,2,25
39247,226.0456,13,15.8270726,0,0.848948122,2,25
39248,130.84001,26,24.86892167,0,0.850247825,2,25
39249,130.84001,26,24.86892167,0,0.850247825,2,25
39250,130.84001,26,24.86892167,0,0.850247825,2,35
39251,141.41491,12,24.48768772,0,0.87348827,2,35
39252,141.41491,12,24.48768772,0,0.87348827,2,25
39253,141.41491,12,24.48768772,0,0.87348827,2,25
39254,141.41491,12,24.48768772,0,0.87348827,2,25
39256,172.77702,14,17.81080325,0,0.864324265,3,25
39258,226.0456,13,15.8270726,0,0.848948122,2,25
39259,226.0456,13,15.8270726,0,0.848948122,2,25
39260,226.0456,13,15.8270726,0,0.848948122,2,25
39261,226.0456,13,15.8270726,0,0.848948122,2,25
39262,226.0456,13,15.8270726,0,0.848948122,2,25
39263,78.6697212,7,28.64070048,0,0.859257627,2,25
39264,78.6697212,7,28.64070048,0,0.859257627,2,25
39265,130.84001,26,24.86892167,0,0.850247825,2,35
39269,160.22361,30,17.34652414,0,0.802401146,3,35
39270,136.95636,69,21.07836342,0,0.795329882,3,25
39271,136.95636,69,21.07836342,0,0.795329882,3,25
39272,136.95636,69,21.07836342,0,0.795329882,2,25
39273,136.95636,69,21.07836342,0,0.795329882,2,25
39274,136.95636,69,21.07836342,0,0.795329882,2,25
39275,136.95636,69,21.07836342,0,0.795329882,2,25
39276,136.95636,69,21.07836342,0,0.795329882,3,25
39277,136.95636,69,21.07836342,0,0.795329882,2,25
39278,136.95636,69,21.07836342,0,0.795329882,2,25
39279,136.95636,69,21.07836342,0,0.795329882,2,25
39281,136.95636,69,21.07836342,0,0.795329882,2,25
39283,136.95636,69,21.07836342,0,0.795329882,4,35
39284,136.95636,69,21.07836342,0,0.795329882,4,35
39285,136.95636,69,21.07836342,0,0.795329882,4,35
39286,136.95636,69,21.07836342,0,0.795329882,4,35
39287,136.95636,69,21.07836342,0,0.795329882,4,35
39288,136.95636,69,21.07836342,0,0.795329882,4,35
39289,136.95636,69,21.07836342,0,0.795329882,4,35
39290,141.41491,12,24.48768772,0,0.87348827,4,35
39291,136.95636,69,21.07836342,0,0.795329882,2,25
39292,141.41491,12,24.48768772,0,0.87348827,2,25
39293,141.41491,12,24.48768772,0,0.87348827,4,35
39294,136.95636,69,21.07836342,0,0.795329882,2,25
39296,136.95636,69,21.07836342,0,0.795329882,2,25
39298,136.95636,69,21.07836342,0,0.795329882,2,25
39299,136.95636,69,21.07836342,0,0.795329882,2,25
39300,136.95636,69,21.07836342,0,0.795329882,2,25
39301,136.95636,69,21.07836342,0,0.795329882,2,25
39302,136.95636,69,21.07836342,0,0.795329882,2,25
39303,136.95636,69,21.07836342,0,0.795329882,2,25
39304,136.95636,69,21.07836342,0,0.795329882,2,25
39305,141.41491,12,24.48768772,0,0.87348827,2,25
39306,141.41491,12,24.48768772,0,0.87348827,2,25
39307,141.41491,12,24.48768772,0,0.87348827,2,25
39308,141.41491,12,24.48768772,0,0.87348827,1,25
