TARGET_FID,Number_of_lanes,"Population,_2018","Households_(occupied_housing_units),_2018","Percent_of_zero-car_households_in_CBG,_2018","Total_employment,_2017"
471,2,4317,1790,0.011731844,2306
472,2,4317,1790,0.011731844,2306
473,2,4317,1790,0.011731844,2306
474,2,4317,1790,0.011731844,2306
475,2,4317,1790,0.011731844,2306
476,2,4317,1790,0.011731844,2306
477,2,4317,1790,0.011731844,2306
478,2,2464,973,0.007194245,495
479,2,4317,1790,0.011731844,2306
480,2,4317,1790,0.011731844,2306
481,2,4317,1790,0.011731844,2306
482,2,4317,1790,0.011731844,2306
483,2,4317,1790,0.011731844,2306
484,2,4317,1790,0.011731844,2306
485,2,4317,1790,0.011731844,2306
486,2,4317,1790,0.011731844,2306
487,2,4317,1790,0.011731844,2306
488,2,4317,1790,0.011731844,2306
489,2,4317,1790,0.011731844,2306
490,2,4317,1790,0.011731844,2306
491,2,4317,1790,0.011731844,2306
492,2,4317,1790,0.011731844,2306
493,2,4317,1790,0.011731844,2306
494,2,4317,1790,0.011731844,2306
495,2,4317,1790,0.011731844,2306
496,2,4317,1790,0.011731844,2306
497,2,4317,1790,0.011731844,2306
498,2,4317,1790,0.011731844,2306
499,2,4317,1790,0.011731844,2306
500,2,4317,1790,0.011731844,2306
501,1,4317,1790,0.011731844,2306
502,1,4317,1790,0.011731844,2306
503,1,4317,1790,0.011731844,2306
504,2,4317,1790,0.011731844,2306
505,2,4317,1790,0.011731844,2306
506,2,4317,1790,0.011731844,2306
507,2,4317,1790,0.011731844,2306
508,2,4317,1790,0.011731844,2306
509,2,4317,1790,0.011731844,2306
510,2,4317,1790,0.011731844,2306
511,2,4317,1790,0.011731844,2306
512,3,969,521,0.015355086,514
513,3,969,521,0.015355086,514
514,2,969,521,0.015355086,514
515,3,969,521,0.015355086,514
516,2,4317,1790,0.011731844,2306
517,2,4317,1790,0.011731844,2306
518,2,4317,1790,0.011731844,2306
519,2,969,521,0.015355086,514
520,2,4317,1790,0.011731844,2306
521,2,4317,1790,0.011731844,2306
522,2,4317,1790,0.011731844,2306
523,2,4317,1790,0.011731844,2306
524,2,4317,1790,0.011731844,2306
525,2,4317,1790,0.011731844,2306
526,2,4317,1790,0.011731844,2306
527,2,4317,1790,0.011731844,2306
528,2,4317,1790,0.011731844,2306
529,2,4317,1790,0.011731844,2306
530,2,4317,1790,0.011731844,2306
531,2,4317,1790,0.011731844,2306
532,2,4317,1790,0.011731844,2306
533,2,4317,1790,0.011731844,2306
534,2,4317,1790,0.011731844,2306
535,2,4317,1790,0.011731844,2306
536,2,4317,1790,0.011731844,2306
537,2,4317,1790,0.011731844,2306
538,2,4317,1790,0.011731844,2306
539,2,4317,1790,0.011731844,2306
540,2,4317,1790,0.011731844,2306
541,2,4317,1790,0.011731844,2306
542,2,969,521,0.015355086,514
543,2,4317,1790,0.011731844,2306
544,2,4317,1790,0.011731844,2306
545,2,4317,1790,0.011731844,2306
546,2,4317,1790,0.011731844,2306
547,2,4317,1790,0.011731844,2306
548,2,4317,1790,0.011731844,2306
549,2,4317,1790,0.011731844,2306
550,2,4317,1790,0.011731844,2306
551,2,4317,1790,0.011731844,2306
552,2,4317,1790,0.011731844,2306
553,2,4317,1790,0.011731844,2306
554,2,969,521,0.015355086,514
555,2,4317,1790,0.011731844,2306
556,2,4317,1790,0.011731844,2306
557,2,4317,1790,0.011731844,2306
558,2,4317,1790,0.011731844,2306
559,2,4317,1790,0.011731844,2306
560,2,4317,1790,0.011731844,2306
561,2,4317,1790,0.011731844,2306
562,2,4317,1790,0.011731844,2306
563,2,4317,1790,0.011731844,2306
564,2,4317,1790,0.011731844,2306
565,2,4317,1790,0.011731844,2306
566,2,4317,1790,0.011731844,2306
567,2,4317,1790,0.011731844,2306
568,2,4317,1790,0.011731844,2306
569,2,4317,1790,0.011731844,2306
570,2,4317,1790,0.011731844,2306
571,2,4317,1790,0.011731844,2306
572,2,4317,1790,0.011731844,2306
573,2,4317,1790,0.011731844,2306
574,2,4317,1790,0.011731844,2306
575,2,4317,1790,0.011731844,2306
576,2,4317,1790,0.011731844,2306
577,2,4317,1790,0.011731844,2306
578,2,4317,1790,0.011731844,2306
579,2,4317,1790,0.011731844,2306
580,2,4317,1790,0.011731844,2306
581,2,4317,1790,0.011731844,2306
582,2,4317,1790,0.011731844,2306
583,2,4317,1790,0.011731844,2306
584,2,4317,1790,0.011731844,2306
585,2,4317,1790,0.011731844,2306
586,2,4317,1790,0.011731844,2306
587,2,4317,1790,0.011731844,2306
588,2,4317,1790,0.011731844,2306
589,2,4317,1790,0.011731844,2306
590,2,4317,1790,0.011731844,2306
591,2,4317,1790,0.011731844,2306
592,2,4317,1790,0.011731844,2306
593,2,4317,1790,0.011731844,2306
594,2,4317,1790,0.011731844,2306
595,2,4317,1790,0.011731844,2306
596,2,4317,1790,0.011731844,2306
597,2,4317,1790,0.011731844,2306
598,2,4317,1790,0.011731844,2306
599,2,4317,1790,0.011731844,2306
600,2,4317,1790,0.011731844,2306
601,2,4317,1790,0.011731844,2306
602,2,4317,1790,0.011731844,2306
603,2,4317,1790,0.011731844,2306
604,2,4317,1790,0.011731844,2306
605,2,4317,1790,0.011731844,2306
606,2,4317,1790,0.011731844,2306
607,2,4317,1790,0.011731844,2306
608,2,4317,1790,0.011731844,2306
609,3,4317,1790,0.011731844,2306
610,2,4317,1790,0.011731844,2306
611,2,4317,1790,0.011731844,2306
612,2,4317,1790,0.011731844,2306
613,2,4317,1790,0.011731844,2306
614,2,4317,1790,0.011731844,2306
615,2,4317,1790,0.011731844,2306
616,2,4317,1790,0.011731844,2306
617,2,4317,1790,0.011731844,2306
618,2,4317,1790,0.011731844,2306
619,2,4317,1790,0.011731844,2306
620,2,4317,1790,0.011731844,2306
621,2,4317,1790,0.011731844,2306
622,2,4317,1790,0.011731844,2306
623,2,4317,1790,0.011731844,2306
624,2,4317,1790,0.011731844,2306
625,2,4317,1790,0.011731844,2306
626,2,4317,1790,0.011731844,2306
627,2,4317,1790,0.011731844,2306
628,2,4317,1790,0.011731844,2306
629,2,4317,1790,0.011731844,2306
630,2,4317,1790,0.011731844,2306
631,2,4317,1790,0.011731844,2306
632,2,4317,1790,0.011731844,2306
633,2,4317,1790,0.011731844,2306
634,2,4317,1790,0.011731844,2306
635,2,4317,1790,0.011731844,2306
636,2,4317,1790,0.011731844,2306
637,2,4317,1790,0.011731844,2306
638,2,4317,1790,0.011731844,2306
639,3,4317,1790,0.011731844,2306
640,2,4317,1790,0.011731844,2306
641,2,4317,1790,0.011731844,2306
642,2,4317,1790,0.011731844,2306
643,2,4317,1790,0.011731844,2306
644,2,4317,1790,0.011731844,2306
645,2,4317,1790,0.011731844,2306
646,2,4317,1790,0.011731844,2306
647,2,4317,1790,0.011731844,2306
648,2,4317,1790,0.011731844,2306
649,2,4317,1790,0.011731844,2306
650,2,4317,1790,0.011731844,2306
651,2,4317,1790,0.011731844,2306
652,2,4317,1790,0.011731844,2306
653,2,4317,1790,0.011731844,2306
654,2,4317,1790,0.011731844,2306
655,3,4317,1790,0.011731844,2306
656,2,4317,1790,0.011731844,2306
657,2,4317,1790,0.011731844,2306
658,2,4317,1790,0.011731844,2306
659,2,4317,1790,0.011731844,2306
660,3,4317,1790,0.011731844,2306
661,2,4317,1790,0.011731844,2306
662,2,4317,1790,0.011731844,2306
663,2,4317,1790,0.011731844,2306
664,2,4317,1790,0.011731844,2306
665,2,4317,1790,0.011731844,2306
666,2,4317,1790,0.011731844,2306
667,2,4317,1790,0.011731844,2306
668,2,4317,1790,0.011731844,2306
669,2,4317,1790,0.011731844,2306
670,2,4317,1790,0.011731844,2306
671,2,4317,1790,0.011731844,2306
672,2,4317,1790,0.011731844,2306
673,2,4317,1790,0.011731844,2306
674,2,4317,1790,0.011731844,2306
675,2,4317,1790,0.011731844,2306
676,2,4317,1790,0.011731844,2306
677,2,4317,1790,0.011731844,2306
678,2,4317,1790,0.011731844,2306
679,2,4317,1790,0.011731844,2306
680,2,4317,1790,0.011731844,2306
681,2,4317,1790,0.011731844,2306
682,2,4317,1790,0.011731844,2306
683,2,4317,1790,0.011731844,2306
684,2,4317,1790,0.011731844,2306
685,2,4317,1790,0.011731844,2306
686,2,4317,1790,0.011731844,2306
687,2,4317,1790,0.011731844,2306
688,2,4317,1790,0.011731844,2306
689,2,4317,1790,0.011731844,2306
690,2,4317,1790,0.011731844,2306
691,2,4317,1790,0.011731844,2306
692,2,4317,1790,0.011731844,2306
693,2,4317,1790,0.011731844,2306
694,2,4317,1790,0.011731844,2306
695,2,4317,1790,0.011731844,2306
